worker_id,sentence_id,aspect,source,other_dataset,asset_simplification,other_simplification,winner
A2TBXASXZIRNNW,67,fluency,It is derived from voice of America( VOA) special English.,turkcorpus,It comes from voice of America special English.,It is derived from voice of America( VOA) special English.,similar
A2TBXASXZIRNNW,67,meaning,It is derived from voice of America( VOA) special English.,turkcorpus,It comes from voice of America special English.,It is derived from voice of America( VOA) special English.,similar
A2TBXASXZIRNNW,67,simplicity,It is derived from voice of America( VOA) special English.,turkcorpus,It comes from voice of America special English.,It is derived from voice of America( VOA) special English.,similar
A2TBXASXZIRNNW,141,fluency,A Wikipedia gadget is a Javascript and/ or a CSS Snippet that can be enabled simply by checking an option in your Wikipedia preferences.,turkcorpus,A Wikipedia gadget is a Javascript and/ or a CSS piece that can be used just by checking an option in your Wikipedia preferences.,A bit of code written in Javascript and/ or CSS that you would like to use on your computer may be provided by Wikipedia; and you may use it just by checking an option for it in your Wikipedia preferences.,asset
A2TBXASXZIRNNW,141,meaning,A Wikipedia gadget is a Javascript and/ or a CSS Snippet that can be enabled simply by checking an option in your Wikipedia preferences.,turkcorpus,A Wikipedia gadget is a Javascript and/ or a CSS piece that can be used just by checking an option in your Wikipedia preferences.,A bit of code written in Javascript and/ or CSS that you would like to use on your computer may be provided by Wikipedia; and you may use it just by checking an option for it in your Wikipedia preferences.,turkcorpus
A2TBXASXZIRNNW,141,simplicity,A Wikipedia gadget is a Javascript and/ or a CSS Snippet that can be enabled simply by checking an option in your Wikipedia preferences.,turkcorpus,A Wikipedia gadget is a Javascript and/ or a CSS piece that can be used just by checking an option in your Wikipedia preferences.,A bit of code written in Javascript and/ or CSS that you would like to use on your computer may be provided by Wikipedia; and you may use it just by checking an option for it in your Wikipedia preferences.,asset
A2TBXASXZIRNNW,265,fluency,"Addiscombe is a suburb in the London borough of Croydon, England.",turkcorpus,"Addiscombe is a small city in the London borough of Croydon, England.","Addiscombe is a residential area in the London borough of Croydon, England.",similar
A2TBXASXZIRNNW,265,meaning,"Addiscombe is a suburb in the London borough of Croydon, England.",turkcorpus,"Addiscombe is a small city in the London borough of Croydon, England.","Addiscombe is a residential area in the London borough of Croydon, England.",similar
A2TBXASXZIRNNW,265,simplicity,"Addiscombe is a suburb in the London borough of Croydon, England.",turkcorpus,"Addiscombe is a small city in the London borough of Croydon, England.","Addiscombe is a residential area in the London borough of Croydon, England.",similar
A2TBXASXZIRNNW,123,fluency,The Amazon Basin is the part of South America drained by the Amazon River and its Tributaries.,turkcorpus,The Amazon Basin is in South America. It is the land drained by the Amazon River and the little rivers connected to it.,The Amazon Basin is the part of South America drained by the Amazon River and those who pay tribute to it.,similar
A2TBXASXZIRNNW,123,meaning,The Amazon Basin is the part of South America drained by the Amazon River and its Tributaries.,turkcorpus,The Amazon Basin is in South America. It is the land drained by the Amazon River and the little rivers connected to it.,The Amazon Basin is the part of South America drained by the Amazon River and those who pay tribute to it.,similar
A2TBXASXZIRNNW,123,simplicity,The Amazon Basin is the part of South America drained by the Amazon River and its Tributaries.,turkcorpus,The Amazon Basin is in South America. It is the land drained by the Amazon River and the little rivers connected to it.,The Amazon Basin is the part of South America drained by the Amazon River and those who pay tribute to it.,similar
A2TBXASXZIRNNW,42,fluency,"The Island chain forms part of the Hebrides, separated from the Scottish mainland and from the inner Hebrides by the stormy waters of the Minch, the little Minch and the sea of the Hebrides.",turkcorpus,The chain of Islands makes up part of Hebrides. It is kept apart from mainland Scotland and the inner Hebrides by waters.,"The Island chain forms part of the Hebrides, detached from the Scottish mainland and from the inner Hebrides turbulent waters of the Minch, the little Minch and the sea of the Hebrides.",asset
A2TBXASXZIRNNW,42,meaning,"The Island chain forms part of the Hebrides, separated from the Scottish mainland and from the inner Hebrides by the stormy waters of the Minch, the little Minch and the sea of the Hebrides.",turkcorpus,The chain of Islands makes up part of Hebrides. It is kept apart from mainland Scotland and the inner Hebrides by waters.,"The Island chain forms part of the Hebrides, detached from the Scottish mainland and from the inner Hebrides turbulent waters of the Minch, the little Minch and the sea of the Hebrides.",turkcorpus
A2TBXASXZIRNNW,42,simplicity,"The Island chain forms part of the Hebrides, separated from the Scottish mainland and from the inner Hebrides by the stormy waters of the Minch, the little Minch and the sea of the Hebrides.",turkcorpus,The chain of Islands makes up part of Hebrides. It is kept apart from mainland Scotland and the inner Hebrides by waters.,"The Island chain forms part of the Hebrides, detached from the Scottish mainland and from the inner Hebrides turbulent waters of the Minch, the little Minch and the sea of the Hebrides.",asset
